Generador,Escenario,UC,PG_0,RES_UP,RES_DN
COCHRANE_1,Humedo.Dmax,0,0,0,0
COCHRANE_2,Humedo.Dmax,0,0,0,0
Santa_Maria,Humedo.Dmax,0,0,0,0
IEMejillones,Humedo.Dmax,0,0,0,0
U15,Humedo.Dmax,0,0,0,0
Campiche,Humedo.Dmax,1,145.2,96.8,0
CTTAR,Humedo.Dmax,0,0,0,0
ANG_I,Humedo.Dmax,0,0,0,0
Nueva_Ventanas,Humedo.Dmax,1,149.4,99.6,0
CTA,Humedo.Dmax,0,0,0,0
U13,Humedo.Dmax,0,0,0,0
U12,Humedo.Dmax,0,0,0,0
CTH,Humedo.Dmax,0,0,0,0
U14,Humedo.Dmax,0,0,0,0
Ventanas_01,Humedo.Dmax,1,68.04,45.36,0
Ventanas_02,Humedo.Dmax,1,125.16,83.44,0
Bocamina_01,Humedo.Dmax,0,0,0,0
Bocamina_02,Humedo.Dmax,0,0,0,0
ANG_II,Humedo.Dmax,0,0,0,0
NTO2,Humedo.Dmax,1,70.8844997,54.80237209,0
NTO1,Humedo.Dmax,1,50.4452,71.26,0
Guacolda_01,Humedo.Dmax,0,0,0,0
Guacolda_02,Humedo.Dmax,0,0,0,0
Guacolda_03,Humedo.Dmax,0,0,0,0
Guacolda_04,Humedo.Dmax,0,0,0,0
Guacolda_05,Humedo.Dmax,0,0,0,0
CTM2,Humedo.Dmax,1,65.06,85,0
CTM1,Humedo.Dmax,0,0,0,0
COCHRANE_1,Humedo.Dmedia,0,0,0,0
COCHRANE_2,Humedo.Dmedia,0,0,0,0
Santa_Maria,Humedo.Dmedia,0,0,0,0
IEMejillones,Humedo.Dmedia,0,0,0,0
U15,Humedo.Dmedia,0,0,0,0
Campiche,Humedo.Dmedia,0,0,0,0
CTTAR,Humedo.Dmedia,0,0,0,0
ANG_I,Humedo.Dmedia,0,0,0,0
Nueva_Ventanas,Humedo.Dmedia,0,0,0,0
CTA,Humedo.Dmedia,0,0,0,0
U13,Humedo.Dmedia,0,0,0,0
U12,Humedo.Dmedia,0,0,0,0
CTH,Humedo.Dmedia,0,0,0,0
U14,Humedo.Dmedia,0,0,0,0
Ventanas_01,Humedo.Dmedia,0,0,0,0
Ventanas_02,Humedo.Dmedia,0,0,0,0
Bocamina_01,Humedo.Dmedia,0,0,0,0
Bocamina_02,Humedo.Dmedia,0,0,0,0
ANG_II,Humedo.Dmedia,0,0,0,0
NTO2,Humedo.Dmedia,1,125.93585,0,0
NTO1,Humedo.Dmedia,1,108.4028279,13.30237209,0
Guacolda_01,Humedo.Dmedia,1,85.74,57.16,0
Guacolda_02,Humedo.Dmedia,0,0,0,0
Guacolda_03,Humedo.Dmedia,1,137.104,0,0
Guacolda_04,Humedo.Dmedia,1,83.4,55.6,0
Guacolda_05,Humedo.Dmedia,0,0,0,0
CTM2,Humedo.Dmedia,1,65.06,85,0
CTM1,Humedo.Dmedia,0,0,0,0
COCHRANE_1,Humedo.Dmin,0,0,0,0
COCHRANE_2,Humedo.Dmin,0,0,0,0
Santa_Maria,Humedo.Dmin,0,0,0,0
IEMejillones,Humedo.Dmin,0,0,0,0
U15,Humedo.Dmin,0,0,0,0
Campiche,Humedo.Dmin,0,0,0,0
CTTAR,Humedo.Dmin,1,77.91,0,0
ANG_I,Humedo.Dmin,0,0,0,0
Nueva_Ventanas,Humedo.Dmin,0,0,0,0
CTA,Humedo.Dmin,1,70.8,68.829,0
U13,Humedo.Dmin,0,0,0,0
U12,Humedo.Dmin,0,0,0,0
CTH,Humedo.Dmin,1,140.8185,0,0
U14,Humedo.Dmin,0,0,0,0
Ventanas_01,Humedo.Dmin,0,0,0,0
Ventanas_02,Humedo.Dmin,0,0,0,0
Bocamina_01,Humedo.Dmin,0,0,0,0
Bocamina_02,Humedo.Dmin,0,0,0,0
ANG_II,Humedo.Dmin,0,0,0,0
NTO2,Humedo.Dmin,1,125.93585,0,0
NTO1,Humedo.Dmin,1,121.7052,0,0
Guacolda_01,Humedo.Dmin,1,131.8955821,11.00441792,0
Guacolda_02,Humedo.Dmin,1,85.74,57.16,0
Guacolda_03,Humedo.Dmin,1,137.104,0,0
Guacolda_04,Humedo.Dmin,1,139,0,0
Guacolda_05,Humedo.Dmin,0,0,0,0
CTM2,Humedo.Dmin,1,150.06,0,0
CTM1,Humedo.Dmin,1,65.83,74.06895417,0
COCHRANE_1,Medio.Dmax,0,0,0,0
COCHRANE_2,Medio.Dmax,0,0,0,0
Santa_Maria,Medio.Dmax,1,321,0,0
IEMejillones,Medio.Dmax,0,0,0,0
U15,Medio.Dmax,1,113.5149,0,0
Campiche,Medio.Dmax,1,242,0,0
CTTAR,Medio.Dmax,1,135.8958,0,0
ANG_I,Medio.Dmax,0,0,0,0
Nueva_Ventanas,Medio.Dmax,1,249,0,0
CTA,Medio.Dmax,1,139.629,0,0
U13,Medio.Dmax,0,0,0,0
U12,Medio.Dmax,0,0,0,0
CTH,Medio.Dmax,1,140.8185,0,0
U14,Medio.Dmax,1,116.81805,0,0
Ventanas_01,Medio.Dmax,1,113.4,0,0
Ventanas_02,Medio.Dmax,1,208.6,0,0
Bocamina_01,Medio.Dmax,1,122.2,0,0
Bocamina_02,Medio.Dmax,1,342,0,0
ANG_II,Medio.Dmax,1,100,118.6318156,0
NTO2,Medio.Dmax,1,125.93585,0,0
NTO1,Medio.Dmax,1,121.7052,0,0
Guacolda_01,Medio.Dmax,1,142.9,0,0
Guacolda_02,Medio.Dmax,1,142.9,0,0
Guacolda_03,Medio.Dmax,1,137.104,0,0
Guacolda_04,Medio.Dmax,1,139,0,0
Guacolda_05,Medio.Dmax,1,83.4,55.6,0
CTM2,Medio.Dmax,1,150.06,0,0
CTM1,Medio.Dmax,1,141.7335,0,0
COCHRANE_1,Medio.Dmedia,0,0,0,0
COCHRANE_2,Medio.Dmedia,0,0,0,0
Santa_Maria,Medio.Dmedia,1,321,0,0
IEMejillones,Medio.Dmedia,0,0,0,0
U15,Medio.Dmedia,1,113.5149,0,0
Campiche,Medio.Dmedia,1,242,0,0
CTTAR,Medio.Dmedia,1,135.8958,0,0
ANG_I,Medio.Dmedia,1,100,123.28928,0
Nueva_Ventanas,Medio.Dmedia,1,249,0,0
CTA,Medio.Dmedia,1,139.629,0,0
U13,Medio.Dmedia,1,37.48955,35.5,0
U12,Medio.Dmedia,1,37.5157,35.3,0
CTH,Medio.Dmedia,1,140.8185,0,0
U14,Medio.Dmedia,1,116.81805,0,0
Ventanas_01,Medio.Dmedia,1,86.07180405,0,0
Ventanas_02,Medio.Dmedia,1,208.6,0,0
Bocamina_01,Medio.Dmedia,0,0,0,0
Bocamina_02,Medio.Dmedia,0,0,0,0
ANG_II,Medio.Dmedia,1,206.5348729,16.97309209,0
NTO2,Medio.Dmedia,1,125.93585,0,0
NTO1,Medio.Dmedia,1,121.7052,0,0
Guacolda_01,Medio.Dmedia,1,142.9,0,0
Guacolda_02,Medio.Dmedia,1,142.9,0,0
Guacolda_03,Medio.Dmedia,1,137.104,0,0
Guacolda_04,Medio.Dmedia,1,139,0,0
Guacolda_05,Medio.Dmedia,1,139,0,0
CTM2,Medio.Dmedia,1,150.06,0,0
CTM1,Medio.Dmedia,1,141.7335,0,0
COCHRANE_1,Medio.Dmin,0,0,0,0
COCHRANE_2,Medio.Dmin,0,0,0,0
Santa_Maria,Medio.Dmin,1,321,0,0
IEMejillones,Medio.Dmin,0,0,0,0
U15,Medio.Dmin,1,113.5149,0,0
Campiche,Medio.Dmin,1,242,0,0
CTTAR,Medio.Dmin,1,135.8958,0,0
ANG_I,Medio.Dmin,0,0,0,0
Nueva_Ventanas,Medio.Dmin,1,249,0,0
CTA,Medio.Dmin,1,139.629,0,0
U13,Medio.Dmin,0,0,0,0
U12,Medio.Dmin,0,0,0,0
CTH,Medio.Dmin,1,140.8185,0,0
U14,Medio.Dmin,1,116.81805,0,0
Ventanas_01,Medio.Dmin,0,0,0,0
Ventanas_02,Medio.Dmin,0,0,0,0
Bocamina_01,Medio.Dmin,0,0,0,0
Bocamina_02,Medio.Dmin,0,0,0,0
ANG_II,Medio.Dmin,1,100,123.507965,0
NTO2,Medio.Dmin,1,125.93585,0,0
NTO1,Medio.Dmin,1,121.7052,0,0
Guacolda_01,Medio.Dmin,1,142.9,0,0
Guacolda_02,Medio.Dmin,1,142.9,0,0
Guacolda_03,Medio.Dmin,1,137.104,0,0
Guacolda_04,Medio.Dmin,1,139,0,0
Guacolda_05,Medio.Dmin,0,0,0,0
CTM2,Medio.Dmin,1,150.06,0,0
CTM1,Medio.Dmin,1,141.7335,0,0
COCHRANE_1,Seco.Dmax,0,0,0,0
COCHRANE_2,Seco.Dmax,0,0,0,0
Santa_Maria,Seco.Dmax,1,321,0,0
IEMejillones,Seco.Dmax,0,0,0,0
U15,Seco.Dmax,1,113.5149,0,0
Campiche,Seco.Dmax,1,242,0,0
CTTAR,Seco.Dmax,1,135.8958,0,0
ANG_I,Seco.Dmax,0,0,0,0
Nueva_Ventanas,Seco.Dmax,1,249,0,0
CTA,Seco.Dmax,1,139.629,0,0
U13,Seco.Dmax,0,0,0,0
U12,Seco.Dmax,0,0,0,0
CTH,Seco.Dmax,1,140.8185,0,0
U14,Seco.Dmax,1,116.81805,0,0
Ventanas_01,Seco.Dmax,1,113.4,0,0
Ventanas_02,Seco.Dmax,1,208.6,0,0
Bocamina_01,Seco.Dmax,1,122.2,0,0
Bocamina_02,Seco.Dmax,1,342,0,0
ANG_II,Seco.Dmax,1,100,123.507965,0
NTO2,Seco.Dmax,1,125.93585,0,0
NTO1,Seco.Dmax,1,121.7052,0,0
Guacolda_01,Seco.Dmax,1,142.9,0,0
Guacolda_02,Seco.Dmax,1,142.9,0,0
Guacolda_03,Seco.Dmax,1,137.104,0,0
Guacolda_04,Seco.Dmax,1,139,0,0
Guacolda_05,Seco.Dmax,1,83.4,55.6,0
CTM2,Seco.Dmax,1,150.06,0,0
CTM1,Seco.Dmax,1,141.7335,0,0
COCHRANE_1,Seco.Dmedia,0,0,0,0
COCHRANE_2,Seco.Dmedia,1,100,136,0
Santa_Maria,Seco.Dmedia,1,321,0,0
IEMejillones,Seco.Dmedia,1,225,75.06237209,0
U15,Seco.Dmedia,1,113.5149,0,0
Campiche,Seco.Dmedia,1,242,0,0
CTTAR,Seco.Dmedia,1,135.8958,0,0
ANG_I,Seco.Dmedia,1,169.9254941,0,0
Nueva_Ventanas,Seco.Dmedia,1,249,0,0
CTA,Seco.Dmedia,1,139.629,0,0
U13,Seco.Dmedia,1,72.98955,0,0
U12,Seco.Dmedia,0,0,0,0
CTH,Seco.Dmedia,1,140.8185,0,0
U14,Seco.Dmedia,1,116.81805,0,0
Ventanas_01,Seco.Dmedia,1,113.4,0,0
Ventanas_02,Seco.Dmedia,1,208.6,0,0
Bocamina_01,Seco.Dmedia,1,122.2,0,0
Bocamina_02,Seco.Dmedia,1,342,0,0
ANG_II,Seco.Dmedia,1,223.507965,0,0
NTO2,Seco.Dmedia,1,125.93585,0,0
NTO1,Seco.Dmedia,1,121.7052,0,0
Guacolda_01,Seco.Dmedia,1,142.9,0,0
Guacolda_02,Seco.Dmedia,1,142.9,0,0
Guacolda_03,Seco.Dmedia,1,137.104,0,0
Guacolda_04,Seco.Dmedia,1,139,0,0
Guacolda_05,Seco.Dmedia,1,139,0,0
CTM2,Seco.Dmedia,1,150.06,0,0
CTM1,Seco.Dmedia,1,141.7335,0,0
COCHRANE_1,Seco.Dmin,1,236,0,0
COCHRANE_2,Seco.Dmin,1,106.6971274,113.7715721,0
Santa_Maria,Seco.Dmin,1,321,0,0
IEMejillones,Seco.Dmin,1,375,0,0
U15,Seco.Dmin,1,113.5149,0,0
Campiche,Seco.Dmin,1,242,0,0
CTTAR,Seco.Dmin,1,135.8958,0,0
ANG_I,Seco.Dmin,1,223.28928,0,0
Nueva_Ventanas,Seco.Dmin,1,249,0,0
CTA,Seco.Dmin,1,139.629,0,0
U13,Seco.Dmin,1,72.98955,0,0
U12,Seco.Dmin,1,72.8157,0,0
CTH,Seco.Dmin,1,140.8185,0,0
U14,Seco.Dmin,1,116.81805,0,0
Ventanas_01,Seco.Dmin,1,70.88,42.52,0
Ventanas_02,Seco.Dmin,1,198.6,10,0
Bocamina_01,Seco.Dmin,1,73.32,48.88,0
Bocamina_02,Seco.Dmin,1,205.2,136.8,0
ANG_II,Seco.Dmin,1,223.507965,0,0
NTO2,Seco.Dmin,1,125.93585,0,0
NTO1,Seco.Dmin,1,121.7052,0,0
Guacolda_01,Seco.Dmin,1,142.9,0,0
Guacolda_02,Seco.Dmin,1,142.9,0,0
Guacolda_03,Seco.Dmin,1,137.104,0,0
Guacolda_04,Seco.Dmin,1,139,0,0
Guacolda_05,Seco.Dmin,1,139,0,0
CTM2,Seco.Dmin,1,150.06,0,0
CTM1,Seco.Dmin,1,141.7335,0,0
Los_Vientos,Humedo.Dmax,0,0,0,0
Espinos_01,Humedo.Dmax,0,0,0,0
Nueva_Renca_Diesel,Humedo.Dmax,0,0,0,0
Cardones,Humedo.Dmax,0,0,0,0
Los_Pinos,Humedo.Dmax,0,0,0,0
Teno,Humedo.Dmax,0,0,0,0
Taltal_02_Diesel,Humedo.Dmax,0,0,0,0
Coronel_TG_Diesel,Humedo.Dmax,0,0,0,0
Taltal_01_Diesel,Humedo.Dmax,0,0,0,0
Antilhue_TG_02,Humedo.Dmax,0,0,0,0
Antilhue_TG_01,Humedo.Dmax,0,0,0,0
Nehuenco_01_Diesel,Humedo.Dmax,0,0,0,0
Dona_Carmen,Humedo.Dmax,0,0,0,0
Santa_Lidia,Humedo.Dmax,0,0,0,0
Nehuenco_02_Diesel,Humedo.Dmax,0,0,0,0
Los_Vientos,Humedo.Dmedia,0,0,0,0
Espinos_01,Humedo.Dmedia,0,0,0,0
Nueva_Renca_Diesel,Humedo.Dmedia,0,0,0,0
Cardones,Humedo.Dmedia,0,0,0,0
Los_Pinos,Humedo.Dmedia,0,0,0,0
Teno,Humedo.Dmedia,0,0,0,0
Taltal_02_Diesel,Humedo.Dmedia,0,0,0,0
Coronel_TG_Diesel,Humedo.Dmedia,0,0,0,0
Taltal_01_Diesel,Humedo.Dmedia,0,0,0,0
Antilhue_TG_02,Humedo.Dmedia,0,0,0,0
Antilhue_TG_01,Humedo.Dmedia,0,0,0,0
Nehuenco_01_Diesel,Humedo.Dmedia,0,0,0,0
Dona_Carmen,Humedo.Dmedia,0,0,0,0
Santa_Lidia,Humedo.Dmedia,0,0,0,0
Nehuenco_02_Diesel,Humedo.Dmedia,0,0,0,0
Los_Vientos,Humedo.Dmin,0,0,0,0
Espinos_01,Humedo.Dmin,0,0,0,0
Nueva_Renca_Diesel,Humedo.Dmin,0,0,0,0
Cardones,Humedo.Dmin,0,-5.68E-14,0,0
Los_Pinos,Humedo.Dmin,0,0,0,0
Teno,Humedo.Dmin,0,0,0,0
Taltal_02_Diesel,Humedo.Dmin,0,0,0,0
Coronel_TG_Diesel,Humedo.Dmin,0,0,0,0
Taltal_01_Diesel,Humedo.Dmin,0,0,0,0
Antilhue_TG_02,Humedo.Dmin,0,0,0,0
Antilhue_TG_01,Humedo.Dmin,0,0,0,0
Nehuenco_01_Diesel,Humedo.Dmin,0,0,0,0
Dona_Carmen,Humedo.Dmin,0,0,0,0
Santa_Lidia,Humedo.Dmin,0,0,0,0
Nehuenco_02_Diesel,Humedo.Dmin,0,0,0,0
Los_Vientos,Medio.Dmax,0,0,0,0
Espinos_01,Medio.Dmax,0,0,0,0
Nueva_Renca_Diesel,Medio.Dmax,0,0,0,0
Cardones,Medio.Dmax,0,0,0,0
Los_Pinos,Medio.Dmax,0,0,0,0
Teno,Medio.Dmax,0,0,0,0
Taltal_02_Diesel,Medio.Dmax,0,0,0,0
Coronel_TG_Diesel,Medio.Dmax,0,0,0,0
Taltal_01_Diesel,Medio.Dmax,0,0,0,0
Antilhue_TG_02,Medio.Dmax,0,0,0,0
Antilhue_TG_01,Medio.Dmax,0,0,0,0
Nehuenco_01_Diesel,Medio.Dmax,0,0,0,0
Dona_Carmen,Medio.Dmax,0,0,0,0
Santa_Lidia,Medio.Dmax,0,0,0,0
Nehuenco_02_Diesel,Medio.Dmax,0,0,0,0
Los_Vientos,Medio.Dmedia,0,0,0,0
Espinos_01,Medio.Dmedia,0,0,0,0
Nueva_Renca_Diesel,Medio.Dmedia,0,0,0,0
Cardones,Medio.Dmedia,0,-5.68E-14,0,0
Los_Pinos,Medio.Dmedia,0,0,0,0
Teno,Medio.Dmedia,0,0,0,0
Taltal_02_Diesel,Medio.Dmedia,0,0,0,0
Coronel_TG_Diesel,Medio.Dmedia,0,0,0,0
Taltal_01_Diesel,Medio.Dmedia,0,0,0,0
Antilhue_TG_02,Medio.Dmedia,0,0,0,0
Antilhue_TG_01,Medio.Dmedia,0,0,0,0
Nehuenco_01_Diesel,Medio.Dmedia,0,0,0,0
Dona_Carmen,Medio.Dmedia,0,0,0,0
Santa_Lidia,Medio.Dmedia,0,0,0,0
Nehuenco_02_Diesel,Medio.Dmedia,0,0,0,0
Los_Vientos,Medio.Dmin,0,0,0,0
Espinos_01,Medio.Dmin,0,0,0,0
Nueva_Renca_Diesel,Medio.Dmin,0,0,0,0
Cardones,Medio.Dmin,0,0,0,0
Los_Pinos,Medio.Dmin,0,0,0,0
Teno,Medio.Dmin,0,0,0,0
Taltal_02_Diesel,Medio.Dmin,0,0,0,0
Coronel_TG_Diesel,Medio.Dmin,0,0,0,0
Taltal_01_Diesel,Medio.Dmin,0,0,0,0
Antilhue_TG_02,Medio.Dmin,0,0,0,0
Antilhue_TG_01,Medio.Dmin,0,0,0,0
Nehuenco_01_Diesel,Medio.Dmin,0,0,0,0
Dona_Carmen,Medio.Dmin,0,0,0,0
Santa_Lidia,Medio.Dmin,0,0,0,0
Nehuenco_02_Diesel,Medio.Dmin,0,0,0,0
