Generador,Escenario,UC,PG_0,RES_UP,RES_DN
Las_Lajas,Humedo.Dmin,1,267,0,0
Ancoa,Humedo.Dmin,1,27,0,0
Chacayes,Humedo.Dmin,1,106,0,0
Chacabuquito,Humedo.Dmin,1,25,0,0
Mampil,Humedo.Dmin,1,49,0,0
La_Higuera,Humedo.Dmin,1,153,0,0
Maitenes,Humedo.Dmin,1,30.8,0,0
Juncal,Humedo.Dmin,1,32,0,0
Laja_I,Humedo.Dmin,1,34.4,0,0
Puntilla,Humedo.Dmin,1,22.13,0,0
Los_Quilos,Humedo.Dmin,1,40,0,0
Pullinque,Humedo.Dmin,1,48.6,0,0
Los_Hierros,Humedo.Dmin,1,25,0,0
San_Pedro,Humedo.Dmin,1,144,0,0
Alfalfal_02,Humedo.Dmin,1,264,0,0
El_Paso,Medio.Dmax,1,36,0,0
Blanco,Medio.Dmax,1,34.2,0,0
Confluencia,Medio.Dmax,1,95.4,0,0
San_Andres,Medio.Dmax,1,24,0,0
Alfalfal,Medio.Dmax,1,117.6,0,0
nuble,Medio.Dmax,1,81.6,0,0
Volcan,Medio.Dmax,1,37.8,0,0
Rucatayo,Medio.Dmax,1,36,0,0
Hornitos,Medio.Dmax,1,33,0,0
Pilmaiquen,Medio.Dmax,1,21,0,0
Sauzal,Medio.Dmax,1,54,0,0
Peuchen,Medio.Dmax,1,46.2,0,0
Florida,Medio.Dmax,1,16.8,0,0
Las_Lajas,Medio.Dmax,1,160.2,0,0
Ancoa,Medio.Dmax,1,16.2,0,0
Chacayes,Medio.Dmax,1,63.6,0,0
Chacabuquito,Medio.Dmax,1,15,0,0
Mampil,Medio.Dmax,1,29.4,0,0
La_Higuera,Medio.Dmax,1,91.8,0,0
Maitenes,Medio.Dmax,1,18.48,0,0
Juncal,Medio.Dmax,1,19.2,0,0
Laja_I,Medio.Dmax,1,20.64,0,0
Puntilla,Medio.Dmax,1,13.278,0,0
Los_Quilos,Medio.Dmax,1,24,0,0
Pullinque,Medio.Dmax,1,29.16,0,0
Los_Hierros,Medio.Dmax,1,15,0,0
San_Pedro,Medio.Dmax,1,86.4,0,0
Alfalfal_02,Medio.Dmax,1,158.4,0,0
El_Paso,Medio.Dmedia,1,36,0,0
Blanco,Medio.Dmedia,1,34.2,0,0
Confluencia,Medio.Dmedia,1,95.4,0,0
San_Andres,Medio.Dmedia,1,24,0,0
Alfalfal,Medio.Dmedia,1,117.6,0,0
nuble,Medio.Dmedia,1,81.6,0,0
Volcan,Medio.Dmedia,1,37.8,0,0
Rucatayo,Medio.Dmedia,1,36,0,0
Hornitos,Medio.Dmedia,1,33,0,0
Pilmaiquen,Medio.Dmedia,1,21,0,0
Sauzal,Medio.Dmedia,1,54,0,0
Peuchen,Medio.Dmedia,1,46.2,0,0
Florida,Medio.Dmedia,1,16.8,0,0
Las_Lajas,Medio.Dmedia,1,160.2,0,0
Ancoa,Medio.Dmedia,1,16.2,0,0
Chacayes,Medio.Dmedia,1,63.6,0,0
Chacabuquito,Medio.Dmedia,1,15,0,0
Mampil,Medio.Dmedia,1,29.4,0,0
La_Higuera,Medio.Dmedia,1,91.8,0,0
Maitenes,Medio.Dmedia,1,18.48,0,0
Juncal,Medio.Dmedia,1,19.2,0,0
Laja_I,Medio.Dmedia,1,20.64,0,0
Puntilla,Medio.Dmedia,1,13.278,0,0
Los_Quilos,Medio.Dmedia,1,24,0,0
Pullinque,Medio.Dmedia,1,29.16,0,0
Los_Hierros,Medio.Dmedia,1,15,0,0
San_Pedro,Medio.Dmedia,1,86.4,0,0
Alfalfal_02,Medio.Dmedia,1,158.4,0,0
El_Paso,Medio.Dmin,1,36,0,0
Blanco,Medio.Dmin,1,34.2,0,0
Confluencia,Medio.Dmin,1,95.4,0,0
San_Andres,Medio.Dmin,1,24,0,0
Alfalfal,Medio.Dmin,1,117.6,0,0
nuble,Medio.Dmin,1,81.6,0,0
Volcan,Medio.Dmin,1,37.8,0,0
Rucatayo,Medio.Dmin,1,36,0,0
Hornitos,Medio.Dmin,1,33,0,0
Pilmaiquen,Medio.Dmin,1,21,0,0
Sauzal,Medio.Dmin,1,54,0,0
Peuchen,Medio.Dmin,1,46.2,0,0
Florida,Medio.Dmin,1,16.8,0,0
Las_Lajas,Medio.Dmin,1,160.2,0,0
Ancoa,Medio.Dmin,1,16.2,0,0
Chacayes,Medio.Dmin,1,63.6,0,0
Chacabuquito,Medio.Dmin,1,15,0,0
Mampil,Medio.Dmin,1,29.4,0,0
La_Higuera,Medio.Dmin,1,91.8,0,0
Maitenes,Medio.Dmin,1,18.48,0,0
Juncal,Medio.Dmin,1,19.2,0,0
Laja_I,Medio.Dmin,1,20.64,0,0
Puntilla,Medio.Dmin,1,13.278,0,0
Los_Quilos,Medio.Dmin,1,24,0,0
Pullinque,Medio.Dmin,1,29.16,0,0
Los_Hierros,Medio.Dmin,1,15,0,0
San_Pedro,Medio.Dmin,1,86.4,0,0
Alfalfal_02,Medio.Dmin,1,158.4,0,0
El_Paso,Seco.Dmax,1,18,0,0
Blanco,Seco.Dmax,1,17.1,0,0
Confluencia,Seco.Dmax,1,47.7,0,0
San_Andres,Seco.Dmax,1,12,0,0
Alfalfal,Seco.Dmax,1,58.8,0,0
nuble,Seco.Dmax,1,40.8,0,0
Volcan,Seco.Dmax,1,18.9,0,0
Rucatayo,Seco.Dmax,1,18,0,0
Hornitos,Seco.Dmax,1,16.5,0,0
Pilmaiquen,Seco.Dmax,1,10.5,0,0
Sauzal,Seco.Dmax,1,27,0,0
Peuchen,Seco.Dmax,1,23.1,0,0
Florida,Seco.Dmax,1,8.4,0,0
Las_Lajas,Seco.Dmax,1,80.1,0,0
Ancoa,Seco.Dmax,1,8.1,0,0
Chacayes,Seco.Dmax,1,31.8,0,0
Chacabuquito,Seco.Dmax,1,7.5,0,0
Mampil,Seco.Dmax,1,14.7,0,0
La_Higuera,Seco.Dmax,1,45.9,0,0
Maitenes,Seco.Dmax,1,9.24,0,0
Juncal,Seco.Dmax,1,9.6,0,0
Laja_I,Seco.Dmax,1,10.32,0,0
Puntilla,Seco.Dmax,1,6.639,0,0
Los_Quilos,Seco.Dmax,1,12,0,0
Pullinque,Seco.Dmax,1,14.58,0,0
Los_Hierros,Seco.Dmax,1,7.5,0,0
San_Pedro,Seco.Dmax,1,43.2,0,0
Alfalfal_02,Seco.Dmax,1,79.2,0,0
El_Paso,Seco.Dmedia,1,18,0,0
Blanco,Seco.Dmedia,1,17.1,0,0
Confluencia,Seco.Dmedia,1,47.7,0,0
San_Andres,Seco.Dmedia,1,12,0,0
Alfalfal,Seco.Dmedia,1,58.8,0,0
nuble,Seco.Dmedia,1,40.8,0,0
Volcan,Seco.Dmedia,1,18.9,0,0
Rucatayo,Seco.Dmedia,1,18,0,0
Hornitos,Seco.Dmedia,1,16.5,0,0
Pilmaiquen,Seco.Dmedia,1,10.5,0,0
Sauzal,Seco.Dmedia,1,27,0,0
Peuchen,Seco.Dmedia,1,23.1,0,0
Florida,Seco.Dmedia,1,8.4,0,0
Las_Lajas,Seco.Dmedia,1,80.1,0,0
Ancoa,Seco.Dmedia,1,8.1,0,0
Chacayes,Seco.Dmedia,1,31.8,0,0
Chacabuquito,Seco.Dmedia,1,7.5,0,0
Mampil,Seco.Dmedia,1,14.7,0,0
La_Higuera,Seco.Dmedia,1,45.9,0,0
Maitenes,Seco.Dmedia,1,9.24,0,0
Juncal,Seco.Dmedia,1,9.6,0,0
Laja_I,Seco.Dmedia,1,10.32,0,0
Puntilla,Seco.Dmedia,1,6.639,0,0
Los_Quilos,Seco.Dmedia,1,12,0,0
Pullinque,Seco.Dmedia,1,14.58,0,0
Los_Hierros,Seco.Dmedia,1,7.5,0,0
San_Pedro,Seco.Dmedia,1,43.2,0,0
Alfalfal_02,Seco.Dmedia,1,79.2,0,0
El_Paso,Seco.Dmin,1,18,0,0
Blanco,Seco.Dmin,1,17.1,0,0
Confluencia,Seco.Dmin,1,47.7,0,0
San_Andres,Seco.Dmin,1,12,0,0
Alfalfal,Seco.Dmin,1,58.8,0,0
nuble,Seco.Dmin,1,40.8,0,0
Volcan,Seco.Dmin,1,18.9,0,0
Rucatayo,Seco.Dmin,1,18,0,0
Hornitos,Seco.Dmin,1,16.5,0,0
Pilmaiquen,Seco.Dmin,1,10.5,0,0
Sauzal,Seco.Dmin,1,27,0,0
Peuchen,Seco.Dmin,1,23.1,0,0
Florida,Seco.Dmin,1,8.4,0,0
Las_Lajas,Seco.Dmin,1,80.1,0,0
Ancoa,Seco.Dmin,1,8.1,0,0
Chacayes,Seco.Dmin,1,31.8,0,0
Chacabuquito,Seco.Dmin,1,7.5,0,0
Mampil,Seco.Dmin,1,14.7,0,0
La_Higuera,Seco.Dmin,1,45.9,0,0
Maitenes,Seco.Dmin,1,9.24,0,0
Juncal,Seco.Dmin,1,9.6,0,0
Laja_I,Seco.Dmin,1,10.32,0,0
Puntilla,Seco.Dmin,1,6.639,0,0
Los_Quilos,Seco.Dmin,1,12,0,0
Pullinque,Seco.Dmin,1,14.58,0,0
Los_Hierros,Seco.Dmin,1,7.5,0,0
San_Pedro,Seco.Dmin,1,43.2,0,0
Alfalfal_02,Seco.Dmin,1,79.2,0,0
San_Ignacio,Humedo.Dmax,1,37,0,0
Curillinque,Humedo.Dmax,1,89,0,0
Loma_Alta,Humedo.Dmax,1,38,0,0
Rucue,Humedo.Dmax,1,169,0,0
Isla,Humedo.Dmax,1,68,0,0
Palmucho,Humedo.Dmax,1,32,0,0
Ojos_de_Agua,Humedo.Dmax,1,9,0,0
Abanico,Humedo.Dmax,1,136,0,0
Chiburgo,Humedo.Dmax,1,19.4,0,0
Quilleco,Humedo.Dmax,1,70,0,0
San_Ignacio,Humedo.Dmedia,1,37,0,0
Curillinque,Humedo.Dmedia,1,89,0,0
Loma_Alta,Humedo.Dmedia,1,38,0,0
Rucue,Humedo.Dmedia,1,169,0,0
Isla,Humedo.Dmedia,1,68,0,0
Palmucho,Humedo.Dmedia,1,32,0,0
Ojos_de_Agua,Humedo.Dmedia,1,9,0,0
Abanico,Humedo.Dmedia,1,136,0,0
Chiburgo,Humedo.Dmedia,1,19.4,0,0
Quilleco,Humedo.Dmedia,1,70,0,0
San_Ignacio,Humedo.Dmin,1,37,0,0
Curillinque,Humedo.Dmin,1,89,0,0
Loma_Alta,Humedo.Dmin,1,38,0,0
Rucue,Humedo.Dmin,1,169,0,0
Isla,Humedo.Dmin,1,68,0,0
Palmucho,Humedo.Dmin,1,32,0,0
Ojos_de_Agua,Humedo.Dmin,1,9,0,0
Abanico,Humedo.Dmin,1,136,0,0
Chiburgo,Humedo.Dmin,1,19.4,0,0
Quilleco,Humedo.Dmin,1,70,0,0
San_Ignacio,Medio.Dmax,1,37,0,0
Curillinque,Medio.Dmax,1,53.4,0,0
Loma_Alta,Medio.Dmax,1,38,0,0
Rucue,Medio.Dmax,1,135.2,0,0
Isla,Medio.Dmax,1,40.8,0,0
Palmucho,Medio.Dmax,1,32,0,0
Ojos_de_Agua,Medio.Dmax,1,5.4,0,0
Abanico,Medio.Dmax,1,40.8,0,0
Chiburgo,Medio.Dmax,1,9.7,0,0
Quilleco,Medio.Dmax,1,42,0,0
San_Ignacio,Medio.Dmedia,1,37,0,0
Curillinque,Medio.Dmedia,1,53.4,0,0
Loma_Alta,Medio.Dmedia,1,38,0,0
Rucue,Medio.Dmedia,1,135.2,0,0
Isla,Medio.Dmedia,1,40.8,0,0
Palmucho,Medio.Dmedia,1,32,0,0
Ojos_de_Agua,Medio.Dmedia,1,5.4,0,0
Abanico,Medio.Dmedia,1,40.8,0,0
Chiburgo,Medio.Dmedia,1,9.7,0,0
Quilleco,Medio.Dmedia,1,42,0,0
San_Ignacio,Medio.Dmin,1,37,0,0
Curillinque,Medio.Dmin,1,53.4,0,0
Loma_Alta,Medio.Dmin,1,38,0,0
Rucue,Medio.Dmin,1,135.2,0,0
Isla,Medio.Dmin,1,40.8,0,0
Palmucho,Medio.Dmin,1,32,0,0
Ojos_de_Agua,Medio.Dmin,1,5.4,0,0
Abanico,Medio.Dmin,1,40.8,0,0
Chiburgo,Medio.Dmin,1,9.7,0,0
Quilleco,Medio.Dmin,1,42,0,0
San_Ignacio,Seco.Dmax,1,11.1,0,0
Curillinque,Seco.Dmax,1,26.7,0,0
Loma_Alta,Seco.Dmax,1,11.4,0,0
Rucue,Seco.Dmax,1,50.7,0,0
Isla,Seco.Dmax,1,20.4,0,0
Palmucho,Seco.Dmax,1,9.6,0,0
Ojos_de_Agua,Seco.Dmax,1,2.7,0,0
Abanico,Seco.Dmax,1,40.8,0,0
Chiburgo,Seco.Dmax,1,5.82,0,0
Quilleco,Seco.Dmax,1,21,0,0
San_Ignacio,Seco.Dmedia,1,11.1,0,0
Curillinque,Seco.Dmedia,1,26.7,0,0
Loma_Alta,Seco.Dmedia,1,11.4,0,0
Rucue,Seco.Dmedia,1,50.7,0,0
Isla,Seco.Dmedia,1,20.4,0,0
Palmucho,Seco.Dmedia,1,9.6,0,0
Ojos_de_Agua,Seco.Dmedia,1,2.7,0,0
Abanico,Seco.Dmedia,1,40.8,0,0
Chiburgo,Seco.Dmedia,1,5.82,0,0
Quilleco,Seco.Dmedia,1,21,0,0
San_Ignacio,Seco.Dmin,1,11.1,0,0
Curillinque,Seco.Dmin,1,26.7,0,0
Loma_Alta,Seco.Dmin,1,11.4,0,0
Rucue,Seco.Dmin,1,50.7,0,0
Isla,Seco.Dmin,1,20.4,0,0
Palmucho,Seco.Dmin,1,9.6,0,0
Ojos_de_Agua,Seco.Dmin,1,2.7,0,0
Abanico,Seco.Dmin,1,40.8,0,0
Chiburgo,Seco.Dmin,1,5.82,0,0
Quilleco,Seco.Dmin,1,21,0,0
Solar_SIC_Norte1,Humedo.Dmax,1,535,0,0
Solar_SIC_Norte2,Humedo.Dmax,1,303.1366032,0,0
Solar_SIC_Centro,Humedo.Dmax,1,258,0,0
Solar_SING_Centro1,Humedo.Dmax,1,451,0,0
Solar_SING_Norte,Humedo.Dmax,1,176.73,0,0
Solar_SING_Centro2,Humedo.Dmax,1,451,0,0
Solar_SIC_CentroNorte,Humedo.Dmax,1,260.4,0,0
Solar_SING_Sur,Humedo.Dmax,1,50,0,0
Solar_SIC_Norte1,Humedo.Dmedia,1,267.5,0,0
Solar_SIC_Norte2,Humedo.Dmedia,1,267.5,0,0
Solar_SIC_Centro,Humedo.Dmedia,1,129,0,0
Solar_SING_Centro1,Humedo.Dmedia,1,225.5,0,0
Solar_SING_Norte,Humedo.Dmedia,1,88.365,0,0
Solar_SING_Centro2,Humedo.Dmedia,1,225.5,0,0
Solar_SIC_CentroNorte,Humedo.Dmedia,1,130.2,0,0
Solar_SING_Sur,Humedo.Dmedia,1,25,0,0
Solar_SIC_Norte1,Humedo.Dmin,0,0,0,0
Solar_SIC_Norte2,Humedo.Dmin,0,0,0,0
Solar_SIC_Centro,Humedo.Dmin,0,0,0,0
Solar_SING_Centro1,Humedo.Dmin,0,0,0,0
Solar_SING_Norte,Humedo.Dmin,0,0,0,0
Solar_SING_Centro2,Humedo.Dmin,0,0,0,0
Solar_SIC_CentroNorte,Humedo.Dmin,0,0,0,0
Solar_SING_Sur,Humedo.Dmin,0,0,0,0
Solar_SIC_Norte1,Medio.Dmax,1,253.6366032,0,0
Solar_SIC_Norte2,Medio.Dmax,1,535,0,0
Solar_SIC_Centro,Medio.Dmax,1,258,0,0
Solar_SING_Centro1,Medio.Dmax,1,451,0,0
Solar_SING_Norte,Medio.Dmax,1,176.73,0,0
Solar_SING_Centro2,Medio.Dmax,1,451,0,0
Solar_SIC_CentroNorte,Medio.Dmax,1,260.4,0,0
Solar_SING_Sur,Medio.Dmax,1,50,0,0
Solar_SIC_Norte1,Medio.Dmedia,1,267.5,0,0
Solar_SIC_Norte2,Medio.Dmedia,1,267.5,0,0
Solar_SIC_Centro,Medio.Dmedia,1,129,0,0
Solar_SING_Centro1,Medio.Dmedia,1,225.5,0,0
Solar_SING_Norte,Medio.Dmedia,1,88.365,0,0
Solar_SING_Centro2,Medio.Dmedia,1,225.5,0,0
Solar_SIC_CentroNorte,Medio.Dmedia,1,130.2,0,0
Solar_SING_Sur,Medio.Dmedia,1,25,0,0
Solar_SIC_Norte1,Medio.Dmin,0,0,0,0
Solar_SIC_Norte2,Medio.Dmin,0,0,0,0
Solar_SIC_Centro,Medio.Dmin,0,0,0,0
Solar_SING_Centro1,Medio.Dmin,0,0,0,0
Solar_SING_Norte,Medio.Dmin,0,0,0,0
Solar_SING_Centro2,Medio.Dmin,0,0,0,0
Solar_SIC_CentroNorte,Medio.Dmin,0,0,0,0
Solar_SING_Sur,Medio.Dmin,0,0,0,0
Solar_SIC_Norte1,Seco.Dmax,1,535,0,0
Solar_SIC_Norte2,Seco.Dmax,1,303.1366032,0,0
Solar_SIC_Centro,Seco.Dmax,1,258,0,0
Solar_SING_Centro1,Seco.Dmax,1,451,0,0
Solar_SING_Norte,Seco.Dmax,1,176.73,0,0
Solar_SING_Centro2,Seco.Dmax,1,451,0,0
Solar_SIC_CentroNorte,Seco.Dmax,1,260.4,0,0
Solar_SING_Sur,Seco.Dmax,1,50,0,0
Solar_SIC_Norte1,Seco.Dmedia,1,267.5,0,0
Solar_SIC_Norte2,Seco.Dmedia,1,267.5,0,0
Solar_SIC_Centro,Seco.Dmedia,1,129,0,0
Solar_SING_Centro1,Seco.Dmedia,1,225.5,0,0
Solar_SING_Norte,Seco.Dmedia,1,88.365,0,0
Solar_SING_Centro2,Seco.Dmedia,1,225.5,0,0
Solar_SIC_CentroNorte,Seco.Dmedia,1,130.2,0,0
Solar_SING_Sur,Seco.Dmedia,1,25,0,0
Solar_SIC_Norte1,Seco.Dmin,0,0,0,0
Solar_SIC_Norte2,Seco.Dmin,0,0,0,0
Solar_SIC_Centro,Seco.Dmin,0,0,0,0
Solar_SING_Centro1,Seco.Dmin,0,0,0,0
Solar_SING_Norte,Seco.Dmin,0,0,0,0
Solar_SING_Centro2,Seco.Dmin,0,0,0,0
Solar_SIC_CentroNorte,Seco.Dmin,0,0,0,0
Solar_SING_Sur,Seco.Dmin,0,0,0,0
