GENERADORES,ESCENARIOS,gen_cvar,gen_rupmax,gen_rdnmax,gen_factorcap
Guacolda_03,Medio.Dmin,29.05,999,999,1
Guacolda_04,Medio.Dmin,32.023,999,999,1
Guacolda_01,Medio.Dmin,32.7484,999,999,1
Guacolda_02,Medio.Dmin,32.8528,999,999,1
Guacolda_05,Medio.Dmin,40.50964896,999,999,1
Santa_Maria,Medio.Dmin,33.89169646,999,999,1
Bocamina_02,Medio.Dmin,44.81518306,999,999,1
Bocamina_01,Medio.Dmin,48.09768973,999,999,1
NTO2,Medio.Dmin,29.8567,999,999,1
NTO1,Medio.Dmin,30.15688,999,999,1
CTM2,Medio.Dmin,32.2307248,999,999,1
CTH,Medio.Dmin,32.71240159,999,999,1
CTM1,Medio.Dmin,33.1455574,999,999,1
CTA,Medio.Dmin,34.98930347,999,999,1
U15,Medio.Dmin,36.8778299,999,999,1
U14,Medio.Dmin,38.2190069,999,999,1
U13,Medio.Dmin,42.217497,999,999,1
U12,Medio.Dmin,44.032503,999,999,1
COCHRANE_1,Medio.Dmin,46.51138814,999,999,1
COCHRANE_2,Medio.Dmin,46.51138814,999,999,1
CTTAR,Medio.Dmin,33.198374,999,999,1
ANG_II,Medio.Dmin,41.04048968,999,999,1
ANG_I,Medio.Dmin,42.45048968,999,999,1
IEMejillones,Medio.Dmin,43.79474211,999,999,1
Nueva_Renca_Diesel,Medio.Dmin,120.5464769,999,999,1
Nehuenco_02_Diesel,Medio.Dmin,121.0384651,999,999,1
Nehuenco_01_Diesel,Medio.Dmin,121.1952869,999,999,1
Dona_Carmen,Medio.Dmin,157.8250806,999,999,1
Espinos_01,Medio.Dmin,175.315902,999,999,1
Los_Vientos,Medio.Dmin,179.3565017,999,999,1
Cardones,Medio.Dmin,174.37435,999,999,1
Teno,Medio.Dmin,180.5514389,999,999,1
Los_Pinos,Medio.Dmin,148.5568851,999,999,1
Coronel_TG_Diesel,Medio.Dmin,165.8908952,999,999,1
Santa_Lidia,Medio.Dmin,181.2146294,999,999,1
Taltal_01_Diesel,Medio.Dmin,176.8500902,999,999,1
Taltal_02_Diesel,Medio.Dmin,176.8500902,999,999,1
Antilhue_TG_01,Medio.Dmin,197.3656384,999,999,1
Antilhue_TG_02,Medio.Dmin,197.3656384,999,999,1
San_Isidro_02_GNL,Medio.Dmin,69.48129023,999,999,1
San_Isidro_GNL,Medio.Dmin,73.58766746,999,999,1
CTM3_SIC,Medio.Dmin,62.65109403,999,999,1
U16_GNL,Medio.Dmin,38.91293792,999,999,1
KELAR,Medio.Dmin,62.01728,999,999,1
CC1_GNL,Medio.Dmin,108.6798098,999,999,1
CC2_GNL,Medio.Dmin,108.6798098,999,999,1
Rapel,Medio.Dmin,155,999,999,1
Colbun,Medio.Dmin,35,999,999,1
Machicura,Medio.Dmin,51,999,999,1
Cipreses,Medio.Dmin,39,999,999,1
Los_Condores,Medio.Dmin,180,999,999,1
Pehuenche,Medio.Dmin,60,999,999,1
El_Toro,Medio.Dmin,150,999,999,1
Ralco,Medio.Dmin,85,999,999,1
Pangue,Medio.Dmin,36,999,999,1
Antuco,Medio.Dmin,37,999,999,1
Angostura,Medio.Dmin,38,999,999,1
Canutillar,Medio.Dmin,120,999,999,1
Hornitos,Medio.Dmin,0,0,999,0.6
Juncal,Medio.Dmin,0,0,999,0.6
Blanco,Medio.Dmin,0,0,999,0.6
Chacabuquito,Medio.Dmin,0,0,999,0.6
Los_Quilos,Medio.Dmin,0,0,999,0.6
Alfalfal,Medio.Dmin,0,0,999,0.6
Florida,Medio.Dmin,0,0,999,0.6
Maitenes,Medio.Dmin,0,0,999,0.6
Volcan,Medio.Dmin,0,0,999,0.6
Puntilla,Medio.Dmin,0,0,999,0.6
Sauzal,Medio.Dmin,0,0,999,0.6
Chacayes,Medio.Dmin,0,0,999,0.6
Alfalfal_02,Medio.Dmin,0,0,999,0.6
Las_Lajas,Medio.Dmin,0,0,999,0.6
La_Higuera,Medio.Dmin,0,0,999,0.6
Confluencia,Medio.Dmin,0,0,999,0.6
San_Andres,Medio.Dmin,0,0,999,0.6
Los_Hierros,Medio.Dmin,0,0,999,0.6
El_Paso,Medio.Dmin,0,0,999,0.6
nuble,Medio.Dmin,0,0,999,0.6
Ancoa,Medio.Dmin,0,0,999,0.6
Peuchen,Medio.Dmin,0,0,999,0.6
Mampil,Medio.Dmin,0,0,999,0.6
Pullinque,Medio.Dmin,0,0,999,0.6
Pilmaiquen,Medio.Dmin,0,0,999,0.6
Rucatayo,Medio.Dmin,0,0,999,0.6
Laja_I,Medio.Dmin,0,0,999,0.6
San_Pedro,Medio.Dmin,0,0,999,0.6
Chiburgo,Medio.Dmin,0,0,999,0.5
Isla,Medio.Dmin,0,0,999,0.6
Curillinque,Medio.Dmin,0,0,999,0.6
Loma_Alta,Medio.Dmin,0,0,999,1
San_Ignacio,Medio.Dmin,0,0,999,1
Ojos_de_Agua,Medio.Dmin,0,0,999,0.6
Abanico,Medio.Dmin,0,0,999,0.3
Rucue,Medio.Dmin,0,0,999,0.8
Quilleco,Medio.Dmin,0,0,999,0.6
Palmucho,Medio.Dmin,0,0,999,1
Eolico-SIC_Centro,Medio.Dmin,0,0,999,0.5
Eolico-SIC_CentroNorte,Medio.Dmin,0,0,999,0.5
Eolico_SIC_CentroSurC,Medio.Dmin,0,0,999,0.5
Eolico_SIC_Norte,Medio.Dmin,0,0,999,0.5
Eolico_SIC_Sur,Medio.Dmin,0,0,999,0.5
Eolico_SING_Centro,Medio.Dmin,0,0,999,0.5
Solar_SIC_Centro,Medio.Dmin,0,0,999,0
Solar_SIC_CentroNorte,Medio.Dmin,0,0,999,0
Solar_SIC_Norte1,Medio.Dmin,0,0,999,0
Solar_SIC_Norte2,Medio.Dmin,0,0,999,0
Solar_SING_Centro1,Medio.Dmin,0,0,999,0
Solar_SING_Centro2,Medio.Dmin,0,0,999,0
Solar_SING_Norte,Medio.Dmin,0,0,999,0
Solar_SING_Sur,Medio.Dmin,0,0,999,0
Nueva_Ventanas,Medio.Dmax,37.64904188,999,999,1
Campiche,Medio.Dmax,37.91690018,999,999,1
Ventanas_02,Medio.Dmax,39.89699388,999,999,1
Ventanas_01,Medio.Dmax,42.44335633,999,999,1
Guacolda_03,Medio.Dmax,29.05,999,999,1
Guacolda_04,Medio.Dmax,32.023,999,999,1
Guacolda_01,Medio.Dmax,32.7484,999,999,1
Guacolda_02,Medio.Dmax,32.8528,999,999,1
Guacolda_05,Medio.Dmax,40.50964896,999,999,1
Santa_Maria,Medio.Dmax,33.89169646,999,999,1
Bocamina_02,Medio.Dmax,44.81518306,999,999,1
Bocamina_01,Medio.Dmax,48.09768973,999,999,1
NTO2,Medio.Dmax,29.8567,999,999,1
NTO1,Medio.Dmax,30.15688,999,999,1
CTM2,Medio.Dmax,32.2307248,999,999,1
CTH,Medio.Dmax,32.71240159,999,999,1
CTM1,Medio.Dmax,33.1455574,999,999,1
CTA,Medio.Dmax,34.98930347,999,999,1
U15,Medio.Dmax,36.8778299,999,999,1
U14,Medio.Dmax,38.2190069,999,999,1
U13,Medio.Dmax,42.217497,999,999,1
U12,Medio.Dmax,44.032503,999,999,1
COCHRANE_1,Medio.Dmax,46.51138814,999,999,1
COCHRANE_2,Medio.Dmax,46.51138814,999,999,1
CTTAR,Medio.Dmax,33.198374,999,999,1
ANG_II,Medio.Dmax,41.04048968,999,999,1
ANG_I,Medio.Dmax,42.45048968,999,999,1
IEMejillones,Medio.Dmax,43.79474211,999,999,1
Nueva_Renca_Diesel,Medio.Dmax,120.5464769,999,999,1
Nehuenco_02_Diesel,Medio.Dmax,121.0384651,999,999,1
Nehuenco_01_Diesel,Medio.Dmax,121.1952869,999,999,1
Dona_Carmen,Medio.Dmax,157.8250806,999,999,1
Espinos_01,Medio.Dmax,175.315902,999,999,1
Los_Vientos,Medio.Dmax,179.3565017,999,999,1
Cardones,Medio.Dmax,174.37435,999,999,1
Teno,Medio.Dmax,180.5514389,999,999,1
Los_Pinos,Medio.Dmax,148.5568851,999,999,1
Coronel_TG_Diesel,Medio.Dmax,165.8908952,999,999,1
Santa_Lidia,Medio.Dmax,181.2146294,999,999,1
Taltal_01_Diesel,Medio.Dmax,176.8500902,999,999,1
Taltal_02_Diesel,Medio.Dmax,176.8500902,999,999,1
Antilhue_TG_01,Medio.Dmax,197.3656384,999,999,1
Antilhue_TG_02,Medio.Dmax,197.3656384,999,999,1
San_Isidro_02_GNL,Medio.Dmax,69.48129023,999,999,1
San_Isidro_GNL,Medio.Dmax,73.58766746,999,999,1
CTM3_SIC,Medio.Dmax,62.65109403,999,999,1
U16_GNL,Medio.Dmax,38.91293792,999,999,1
KELAR,Medio.Dmax,62.01728,999,999,1
CC1_GNL,Medio.Dmax,108.6798098,999,999,1
CC2_GNL,Medio.Dmax,108.6798098,999,999,1
Rapel,Medio.Dmax,155,999,999,1
Colbun,Medio.Dmax,35,999,999,1
Machicura,Medio.Dmax,51,999,999,1
Cipreses,Medio.Dmax,39,999,999,1
Los_Condores,Medio.Dmax,180,999,999,1
Pehuenche,Medio.Dmax,60,999,999,1
El_Toro,Medio.Dmax,150,999,999,1
Ralco,Medio.Dmax,85,999,999,1
Pangue,Medio.Dmax,36,999,999,1
Antuco,Medio.Dmax,37,999,999,1
Angostura,Medio.Dmax,38,999,999,1
Canutillar,Medio.Dmax,120,999,999,1
Hornitos,Medio.Dmax,0,0,999,0.6
Juncal,Medio.Dmax,0,0,999,0.6
Blanco,Medio.Dmax,0,0,999,0.6
Chacabuquito,Medio.Dmax,0,0,999,0.6
Los_Quilos,Medio.Dmax,0,0,999,0.6
Alfalfal,Medio.Dmax,0,0,999,0.6
Florida,Medio.Dmax,0,0,999,0.6
Maitenes,Medio.Dmax,0,0,999,0.6
Volcan,Medio.Dmax,0,0,999,0.6
Puntilla,Medio.Dmax,0,0,999,0.6
Sauzal,Medio.Dmax,0,0,999,0.6
Chacayes,Medio.Dmax,0,0,999,0.6
Alfalfal_02,Medio.Dmax,0,0,999,0.6
Las_Lajas,Medio.Dmax,0,0,999,0.6
La_Higuera,Medio.Dmax,0,0,999,0.6
Confluencia,Medio.Dmax,0,0,999,0.6
San_Andres,Medio.Dmax,0,0,999,0.6
Los_Hierros,Medio.Dmax,0,0,999,0.6
El_Paso,Medio.Dmax,0,0,999,0.6
nuble,Medio.Dmax,0,0,999,0.6
Ancoa,Medio.Dmax,0,0,999,0.6
Peuchen,Medio.Dmax,0,0,999,0.6
Mampil,Medio.Dmax,0,0,999,0.6
Pullinque,Medio.Dmax,0,0,999,0.6
Pilmaiquen,Medio.Dmax,0,0,999,0.6
Rucatayo,Medio.Dmax,0,0,999,0.6
Laja_I,Medio.Dmax,0,0,999,0.6
San_Pedro,Medio.Dmax,0,0,999,0.6
Chiburgo,Medio.Dmax,0,0,999,0.5
Isla,Medio.Dmax,0,0,999,0.6
Curillinque,Medio.Dmax,0,0,999,0.6
Loma_Alta,Medio.Dmax,0,0,999,1
San_Ignacio,Medio.Dmax,0,0,999,1
Ojos_de_Agua,Medio.Dmax,0,0,999,0.6
Abanico,Medio.Dmax,0,0,999,0.3
Rucue,Medio.Dmax,0,0,999,0.8
Quilleco,Medio.Dmax,0,0,999,0.6
Palmucho,Medio.Dmax,0,0,999,1
Eolico-SIC_Centro,Medio.Dmax,0,0,999,0.5
Eolico-SIC_CentroNorte,Medio.Dmax,0,0,999,0.5
Eolico_SIC_CentroSurC,Medio.Dmax,0,0,999,0.5
Eolico_SIC_Norte,Medio.Dmax,0,0,999,0.5
Eolico_SIC_Sur,Medio.Dmax,0,0,999,0.5
Eolico_SING_Centro,Medio.Dmax,0,0,999,0.5
Solar_SIC_Centro,Medio.Dmax,0,0,999,1
Solar_SIC_CentroNorte,Medio.Dmax,0,0,999,1
Solar_SIC_Norte1,Medio.Dmax,0,0,999,1
Solar_SIC_Norte2,Medio.Dmax,0,0,999,1
Solar_SING_Centro1,Medio.Dmax,0,0,999,1
Solar_SING_Centro2,Medio.Dmax,0,0,999,1
Solar_SING_Norte,Medio.Dmax,0,0,999,1
Solar_SING_Sur,Medio.Dmax,0,0,999,1
Nueva_Ventanas,Medio.Dmedia,37.64904188,999,999,1
Campiche,Medio.Dmedia,37.91690018,999,999,1
Ventanas_02,Medio.Dmedia,39.89699388,999,999,1
Ventanas_01,Medio.Dmedia,42.44335633,999,999,1
Guacolda_03,Medio.Dmedia,29.05,999,999,1
Guacolda_04,Medio.Dmedia,32.023,999,999,1
Guacolda_01,Medio.Dmedia,32.7484,999,999,1
Guacolda_02,Medio.Dmedia,32.8528,999,999,1
Guacolda_05,Medio.Dmedia,40.50964896,999,999,1
Santa_Maria,Medio.Dmedia,33.89169646,999,999,1
Bocamina_02,Medio.Dmedia,44.81518306,999,999,1
Bocamina_01,Medio.Dmedia,48.09768973,999,999,1
NTO2,Medio.Dmedia,29.8567,999,999,1
NTO1,Medio.Dmedia,30.15688,999,999,1
CTM2,Medio.Dmedia,32.2307248,999,999,1
CTH,Medio.Dmedia,32.71240159,999,999,1
CTM1,Medio.Dmedia,33.1455574,999,999,1
CTA,Medio.Dmedia,34.98930347,999,999,1
U15,Medio.Dmedia,36.8778299,999,999,1
U14,Medio.Dmedia,38.2190069,999,999,1
U13,Medio.Dmedia,42.217497,999,999,1
U12,Medio.Dmedia,44.032503,999,999,1
COCHRANE_1,Medio.Dmedia,46.51138814,999,999,1
COCHRANE_2,Medio.Dmedia,46.51138814,999,999,1
CTTAR,Medio.Dmedia,33.198374,999,999,1
ANG_II,Medio.Dmedia,41.04048968,999,999,1
ANG_I,Medio.Dmedia,42.45048968,999,999,1
IEMejillones,Medio.Dmedia,43.79474211,999,999,1
Nueva_Renca_Diesel,Medio.Dmedia,120.5464769,999,999,1
Nehuenco_02_Diesel,Medio.Dmedia,121.0384651,999,999,1
Nehuenco_01_Diesel,Medio.Dmedia,121.1952869,999,999,1
Dona_Carmen,Medio.Dmedia,157.8250806,999,999,1
Espinos_01,Medio.Dmedia,175.315902,999,999,1
Los_Vientos,Medio.Dmedia,179.3565017,999,999,1
Cardones,Medio.Dmedia,174.37435,999,999,1
Teno,Medio.Dmedia,180.5514389,999,999,1
Los_Pinos,Medio.Dmedia,148.5568851,999,999,1
Coronel_TG_Diesel,Medio.Dmedia,165.8908952,999,999,1
Santa_Lidia,Medio.Dmedia,181.2146294,999,999,1
Taltal_01_Diesel,Medio.Dmedia,176.8500902,999,999,1
Taltal_02_Diesel,Medio.Dmedia,176.8500902,999,999,1
Antilhue_TG_01,Medio.Dmedia,197.3656384,999,999,1
Antilhue_TG_02,Medio.Dmedia,197.3656384,999,999,1
San_Isidro_02_GNL,Medio.Dmedia,69.48129023,999,999,1
San_Isidro_GNL,Medio.Dmedia,73.58766746,999,999,1
CTM3_SIC,Medio.Dmedia,62.65109403,999,999,1
U16_GNL,Medio.Dmedia,38.91293792,999,999,1
KELAR,Medio.Dmedia,62.01728,999,999,1
CC1_GNL,Medio.Dmedia,108.6798098,999,999,1
CC2_GNL,Medio.Dmedia,108.6798098,999,999,1
Rapel,Medio.Dmedia,155,999,999,1
Colbun,Medio.Dmedia,35,999,999,1
Machicura,Medio.Dmedia,51,999,999,1
Cipreses,Medio.Dmedia,39,999,999,1
Los_Condores,Medio.Dmedia,180,999,999,1
Pehuenche,Medio.Dmedia,60,999,999,1
El_Toro,Medio.Dmedia,150,999,999,1
Ralco,Medio.Dmedia,85,999,999,1
Pangue,Medio.Dmedia,36,999,999,1
Antuco,Medio.Dmedia,37,999,999,1
Angostura,Medio.Dmedia,38,999,999,1
Canutillar,Medio.Dmedia,120,999,999,1
Hornitos,Medio.Dmedia,0,0,999,0.6
Juncal,Medio.Dmedia,0,0,999,0.6
Blanco,Medio.Dmedia,0,0,999,0.6
Chacabuquito,Medio.Dmedia,0,0,999,0.6
Los_Quilos,Medio.Dmedia,0,0,999,0.6
Alfalfal,Medio.Dmedia,0,0,999,0.6
Florida,Medio.Dmedia,0,0,999,0.6
Maitenes,Medio.Dmedia,0,0,999,0.6
Volcan,Medio.Dmedia,0,0,999,0.6
Puntilla,Medio.Dmedia,0,0,999,0.6
Sauzal,Medio.Dmedia,0,0,999,0.6
Chacayes,Medio.Dmedia,0,0,999,0.6
Alfalfal_02,Medio.Dmedia,0,0,999,0.6
Las_Lajas,Medio.Dmedia,0,0,999,0.6
La_Higuera,Medio.Dmedia,0,0,999,0.6
Confluencia,Medio.Dmedia,0,0,999,0.6
San_Andres,Medio.Dmedia,0,0,999,0.6
Los_Hierros,Medio.Dmedia,0,0,999,0.6
El_Paso,Medio.Dmedia,0,0,999,0.6
nuble,Medio.Dmedia,0,0,999,0.6
Ancoa,Medio.Dmedia,0,0,999,0.6
Peuchen,Medio.Dmedia,0,0,999,0.6
Mampil,Medio.Dmedia,0,0,999,0.6
Pullinque,Medio.Dmedia,0,0,999,0.6
Pilmaiquen,Medio.Dmedia,0,0,999,0.6
Rucatayo,Medio.Dmedia,0,0,999,0.6
Laja_I,Medio.Dmedia,0,0,999,0.6
San_Pedro,Medio.Dmedia,0,0,999,0.6
Chiburgo,Medio.Dmedia,0,0,999,0.5
Isla,Medio.Dmedia,0,0,999,0.6
Curillinque,Medio.Dmedia,0,0,999,0.6
Loma_Alta,Medio.Dmedia,0,0,999,1
San_Ignacio,Medio.Dmedia,0,0,999,1
Ojos_de_Agua,Medio.Dmedia,0,0,999,0.6
Abanico,Medio.Dmedia,0,0,999,0.3
Rucue,Medio.Dmedia,0,0,999,0.8
Quilleco,Medio.Dmedia,0,0,999,0.6
Palmucho,Medio.Dmedia,0,0,999,1
Eolico-SIC_Centro,Medio.Dmedia,0,0,999,0.5
Eolico-SIC_CentroNorte,Medio.Dmedia,0,0,999,0.5
Eolico_SIC_CentroSurC,Medio.Dmedia,0,0,999,0.5
Eolico_SIC_Norte,Medio.Dmedia,0,0,999,0.5
Eolico_SIC_Sur,Medio.Dmedia,0,0,999,0.5
Eolico_SING_Centro,Medio.Dmedia,0,0,999,0.5
Solar_SIC_Centro,Medio.Dmedia,0,0,999,0.5
Solar_SIC_CentroNorte,Medio.Dmedia,0,0,999,0.5
Solar_SIC_Norte1,Medio.Dmedia,0,0,999,0.5
Solar_SIC_Norte2,Medio.Dmedia,0,0,999,0.5
Solar_SING_Centro1,Medio.Dmedia,0,0,999,0.5
Solar_SING_Centro2,Medio.Dmedia,0,0,999,0.5
Solar_SING_Norte,Medio.Dmedia,0,0,999,0.5
Solar_SING_Sur,Medio.Dmedia,0,0,999,0.5
Nueva_Ventanas,Humedo.Dmin,37.64904188,999,999,1
Campiche,Humedo.Dmin,37.91690018,999,999,1
